UCINumeric,UCIAlpha,UCIName,Category
2,USA,United States of America,0
20,CAN,Canada,0
31,BHM,Bahamas,0
40,CUB,Cuba,0
41,HAI,Haiti,0
42,DOM,Dominican Republic,0
51,JAM,Jamaica,0
52,TRI,Trinidad and Tobago,0
53,BAR,Barbados,0
54,DMA,Dominica,0
55,GRN,Grenada,0
56,SLU,St. Lucia,0
57,SVG,St. Vincent and the Grenadines,0
58,AAB,Antigua and Barbuda,0
60,SKN,St. Kitts and Nevis,0
70,MEX,Mexico,0
80,BLZ,Belize,0
89,UPC,United Province CA,0
90,GUA,Guatemala,0
91,HON,Honduras,0
92,SAL,El Salvador,0
93,NIC,Nicaragua,0
94,COS,Costa Rica,0
95,PAN,Panama,0
100,COL,Colombia,0
101,VEN,Venezuela,0
105,BOP,Bophuthatswana,0
110,GUY,Guyana,0
115,SUR,Suriname,0
130,ECU,Ecuador,0
135,PER,Peru,0
140,BRA,Brazil,0
145,BOL,Bolivia,0
150,PAR,Paraguay,0
155,CHL,Chile,0
160,ARG,Argentina,0
165,URU,Uruguay,0
190,CAE,Central African Empire,0
200,UKG,United Kingdom,0
205,IRE,Ireland,0
210,NTH,Netherlands,0
211,BEL,Belgium,0
212,LUX,Luxembourg,0
220,FRN,France,0
221,MNC,Monaco,0
223,LIE,Liechtenstein,0
225,SWZ,Switzerland,0
230,SPN,Spain,0
232,AND,Andorra,0
235,POR,Portugal,0
240,HAN,Hanover,0
245,BAV,Bavaria,0
246,ANJ,Anjouan,0
255,GMY,Germany,0
260,GFR,German Federal Republic (West),0
265,GDR,German Democratic Republic (East),0
267,BAD,Baden,0
269,SAX,Saxony,0
271,WRT,Wuerttemburg,0
273,HSE,Hesse Electoral,0
275,HSG,Hesse Grand Ducal,0
280,MEC,Mecklenburg Schwerin,0
290,POL,Poland,0
291,CYG,Cyprus (Greek),0
292,CYT,Cyprus (Turk),0
300,AUH,Austria-Hungary,0
305,AUS,Austria,0
310,HUN,Hungary,0
311,DHY,Dahomey,0
315,CZE,Czechoslovakia,0
316,CZR,Czech Republic,0
317,SLO,Slovakia,0
325,ITA,Italy,0
327,PAP,Papal States,0
329,SIC,Two Sicilies,0
331,SNM,San Marino,0
332,MOD,Modena,0
335,PMA,Parma,0
337,TUS,Tuscany,0
338,MLT,Malta,0
339,ALB,Albania,0
341,MNG,Montenegro,0
343,MAC,Macedonia,0
344,CRO,Croatia,0
345,YUG,Yugoslavia,0
346,BOS,Bosnia and Herzegovina,0
347,KOS,Kosovo,0
349,SLV,Slovenia,0
350,GRC,Greece,0
352,CYP,Cyprus,0
355,BUL,Bulgaria,0
359,MLD,Moldova,0
360,ROM,Romania,0
364,SUN,USSR,0
365,RUS,Russia,0
366,EST,Estonia,0
367,LAT,Latvia,0
368,LIT,Lithuania,0
369,UKR,Ukraine,0
370,BLR,Belarus,0
371,ARM,Armenia,0
372,GRG,Georgia,0
373,AZE,Azerbaijan,0
375,FIN,Finland,0
376,CMA,Crimea,0
380,SWD,Sweden,0
385,NOR,Norway,0
390,DEN,Denmark,0
395,ICE,Iceland,0
402,CAP,Cape Verde,0
403,STP,Sao Tome and Principe,0
404,GNB,Guinea-Bissau,0
411,EQG,Equatorial Guinea,0
420,GAM,Gambia,0
427,PRS,Prussia,0
432,MLI,Mali,0
433,SEN,Senegal,0
434,BEN,Benin,0
435,MAA,Mauritania,0
436,NIR,Niger,0
437,CDI,Ivory Coast,0
438,GUI,Guinea,0
439,BFO,Burkina Faso,0
450,LBR,Liberia,0
451,SIE,Sierra Leone,0
452,GHA,Ghana,0
461,TOG,Togo,0
471,CAO,Cameroon,0
475,NIG,Nigeria,0
481,GAB,Gabon,0
482,CEN,Central African Republic,0
483,CHA,Chad,0
484,CON,Congo,0
490,DRC,Democratic Republic of the Congo,0
500,UGA,Uganda,0
501,KEN,Kenya,0
510,TAZ,Tanzania,0
511,ZAN,Zanzibar,0
516,BUI,Burundi,0
517,RWA,Rwanda,0
520,SOM,Somalia,0
522,DJI,Djibouti,0
530,ETH,Ethiopia,0
531,ERI,Eritrea,0
540,ANG,Angola,0
541,MZM,Mozambique,0
551,ZAM,Zambia,0
552,ZIM,Zimbabwe,0
553,MAW,Malawi,0
560,SAF,South Africa,0
561,CIS,Ciskei,0
564,OFS,Orange Free State,0
565,NAM,Namibia,0
570,LES,Lesotho,0
571,BOT,Botswana,0
572,SWA,Swaziland,0
574,SAR,Sardinia,0
580,MAG,Madagascar,0
581,COM,Comoros,0
590,MAS,Mauritius,0
591,SEY,Seychelles,0
600,MOR,Morocco,0
615,ALG,Algeria,0
616,TUN,Tunisia,0
620,LIB,Libya,0
625,SUD,Sudan,0
626,SSD,South Sudan,0
630,IRN,Iran,0
640,TUR,Turkey,0
645,IRQ,Iraq,0
651,EGY,Egypt,0
652,SYR,Syria,0
660,LEB,Lebanon,0
663,JOR,Jordan,0
666,ISR,Israel,0
670,SAU,Saudi Arabia,0
678,YAR,Yemen Arab Republic (North),0
679,YEM,Yemen,0
680,YPR,Yemen People's Republic (South),0
690,KUW,Kuwait,0
692,BAH,Bahrain,0
694,QAT,Qatar,0
696,UAE,United Arab Emirates,0
698,OMA,Oman,0
700,AFG,Afghanistan,0
701,TKM,Turkmenistan,0
702,TAJ,Tajikistan,0
703,KYR,Kyrgyzstan,0
704,UZB,Uzbekistan,0
705,KZK,Kazakhstan,0
710,CHN,China,0
711,XTI,Tibet,0
712,MON,Mongolia,0
713,TAW,Taiwan,0
730,KOR,Korea,0
731,PRK,North Korea,0
732,ROK,South Korea,0
740,JPN,Japan,0
750,IND,India,0
760,BHU,Bhutan,0
770,PAK,Pakistan,0
771,BNG,Bangladesh,0
775,MYA,Myanmar,0
780,SRI,Sri Lanka,0
781,MAD,Maldives,0
790,NEP,Nepal,0
800,THI,Thailand,0
804,GCL,Gran Colombia,0
811,CAM,Cambodia,0
812,LAO,Laos,0
816,DRV,Vietnam,0
817,RVN,Republic of Vietnam (South),0
819,FML,Federation of Malaya,0
820,MAL,Malaysia,0
822,UCA,Federal Republic of Central America,0
830,SIN,Singapore,0
835,BRU,Brunei,0
840,PHI,Philippines,0
850,INS,Indonesia,0
852,ANT,Netherlands Antilles,0
854,ABW,Aruba,0
860,ETM,East Timor,0
900,AUL,Australia,0
903,PSE,Palestine,0
910,PNG,Papua New Guinea,0
920,NEW,New Zealand,0
935,VAN,Vanuatu,0
940,SOL,Solomon Islands,0
946,KIR,Kiribati,0
947,TUV,Tuvalu,0
948,CHI,Channel Islands,0
949,IMN,Isle of Man,0
950,FIJ,Fiji,0
951,MNP,Northern Mariana Islands,0
955,TON,Tonga,0
970,NAU,Nauru,0
983,MSI,Marshall Islands,0
986,PAL,Palau,0
987,FSM,Federated States of Micronesia,0
990,WSM,Samoa,0
1001,SGB,Senegambia,0
1031,SML,Somaliland,0
1032,MYT,Mayotte,0
1038,REU,Reunion,0
1040,SHN,St Helena,0
1053,ESH,Western Sahara,0
1057,AIA,Anguilla,0
1063,BMU,Bermuda,0
1064,VGB,Virgin Island of the United Kingdom,0
1066,CYM,Cayman Islands,0
1072,GRL,Greenland,0
1074,GLP,Guadeloupe,0
1079,MTQ,Martinique,0
1081,MSR,Montserrat,0
1085,PRI,Puerto Rico,0
1088,SPM,Saint Pierre And Miquelon,0
1091,TCA,Turks and Caicos Islands,0
1093,VIR,Virgin Islands of the United States,0
1100,FLK,Falkland Islands (Malvinas),0
1101,GUF,French Guiana,0
1116,KAM,Kampuch,0
1118,HKG,Hong Kong,0
1131,MCA,Macau,0
1145,TKI,Transkei,0
1158,FRO,Faroe Islands,0
1163,GIB,Gibraltar,0
1170,OEM,Ottoman Empire,0
1186,ASM,American Samoa,0
1188,COK,Cook Islands,0
1190,PYF,French Polynesia,0
1191,GUM,Guam,0
1194,NCL,New Caledonia,0
1196,NIU,Niue,0
1197,NFK,Norfolk Island,0
1198,PSS,Pacific island small states,0
1200,UAR,United Arab Republic,0
1202,TKL,Tokelau,0
1214,RHO,Rhodesia,0
1230,HVO,Upper Volta,0
1245,VAT,Vatican,0
1247,VND,Venda,0
1290,SCG,Serbia and Montenegro,0
1292,SRB,Serbia,0
2001,ABU,Abu Dhabi,0
2002,AJM,Ajman,0
2003,ALA,Aland,0
2004,ALF,Al Fujayrah,0
2005,ALS,Al Sharjah,0
2006,ATA,Antarctica,0
2007,ASC,Ascension Island,0
2008,AZO,Azores,0
2009,BSQ,Basque Country,0
2010,BER,Berlin West,0
2011,BES,"Bonaire, Sint Eustatius And Saba",0
2013,BVT,Bouvet Island,0
2014,ATB,British Antarctic Territory,0
2015,BCT,British Caribbean Territory,0
2016,IOT,British Indian Ocean Territory,0
2017,BYS,Byelorussian SSR,0
2018,CNR,Canaries,0
2019,CTE,Canton And Enderbury Islands,0
2020,CAR,Caroline Island,0
2021,CXR,Christmas Island,0
2022,CCK,Cocos (Keeling) Islands,0
2023,CSK,Cossackia,0
2024,CUW,Curacao,0
2025,DGA,Diego Garcia,0
2026,ATN,Dronning Maud Land,0
2027,DUB,Dubai,0
2029,FXX,"France, Metropolitan",0
2030,AFI,French Territory of Afars and Issas,0
2031,FAT,French Antilles,0
2032,FRA,French Republic,0
2033,ATF,French Southern and Antarctic Territories,0
2034,GAL,Galapagos Island,0
2035,GEL,Gilbert And Ellice Islands,0
2036,GGY,Guernsey,0
2037,HMD,Heard Island,0
2038,IWR,Isle of Wight,0
2039,JEY,Jersey,0
2040,JTN,Johnston Island,0
2041,KAC,Kachinland,0
2042,KAS,Kashmir,0
2043,KUR,Kurdish Area,0
2044,LAP,Lapland,0
2045,LEI,Leeward Island,0
2046,MQI,Marquesas Island,0
2047,MDI,Mcdonald Island,0
2048,MID,Midway Islands,0
2050,NTZ,Neutral Zone,0
2051,NHB,New Hebrides,0
2052,NCY,Northern Cyprus,0
2053,NIL,Northern Ireland,0
2059,PCI,"Pacific Islands, Trust Territory",0
2060,PCZ,Panama Canal Zone,0
2061,PCN,Pitcairn,0
2062,QUB,Quebec,0
2063,KHA,Ra'S Al Khaymah,0
2064,RAP,Rapanui/Easter Island,0
2065,SAB,Sabah,0
2066,WSH,Sahara West,0
2067,MAF,Saint Martin (French part),0
2068,SWK,Sarawak,0
2069,SCT,Scotland,0
2070,SKM,Sikkim,0
2071,SXM,Sint Maarten (Dutch part),0
2072,SRH,Southern Rhodesia,0
2073,SGS,South Georgia And The South Sandwich Islands,0
2074,SMC,South Moluccas,0
2075,SRP,Republika Srpska,0
2076,BLM,Saint Barthelemy,0
2077,SJM,Svalbard and Jan Mayen,0
2078,TDC,Tristan Da Cunha,0
2079,TSN,Turkestan,0
2080,TYL,Tyrol,0
2081,PUS,U.S. Miscellaneous Pacific Islands,0
2082,UAQ,Umm Al Qaywayn,0
2083,UMI,United States Minor Outlying Islands,0
2084,WAK,Wake Island,0
2085,WLS,Wales,0
2086,WLF,Wallis And Futuna,0
2087,WPA,West Papua,0
2088,WDI,Windward Island,0
2089,YDF,Yugoslavia (DFY),0
2090,YFP,Yugoslavia (FPRY),0
2091,YFR,Yugoslavia (FRY),0
2092,YSR,Yugoslavia (SFRY),0
3900,OAF,Other Africa,0
3901,OAM,Other America,0
3902,OAS,Other Asia,0
3903,OAU,Other Australasia,0
3904,OEU,Other Europe,0
4023,CSK*,Cossackia (exile),0
4040,CUB*,Cuba (exile),0
4079,TUR*,Turkestan (exile),0
4290,POL*,Poland (exile),0
4292,SRB*,Serbia (exile),0
4310,HUN*,Hungary (exile),0
4315,CZE*,Czechoslovakia (exile),0
4317,SLO*,Slovakia (exile),0
4339,ALB*,Albania (exile),0
4344,CRO*,Croatia (exile),0
4345,YUG*,Yugoslavia (exile),0
4349,SLV*,Slovenia (exile),0
4355,BUL*,Bulgaria (exile),0
4360,ROM*,Romania (exile),0
4366,EST*,Estonia (exile),0
4367,LAT*,Latvia (exile),0
4368,LIT*,Lithuania (exile),0
4369,UKR*,Ukraine (exile),0
4370,BLR*,Belarus (exile),0
4371,ARM*,Armenia (exile),0
4372,GRG*,Georgia (exile),0
4630,IRN*,Iran Islamic Rep (exile),0
4700,AFG*,Afghanistan (exile),0
4775,MYA*,Myanmar (exile),0
4816,DRV*,Vietnam (exile),0
5000,ARB,Arab World,1
5001,CAA,Sub-Saharan Africa (IFC classification),1
5002,CEA,East Asia and the Pacific (IFC classification),1
5003,CEB,Central Europe and the Baltics,1
5004,CEU,Europe and Central Asia (IFC classification),1
5005,CLA,Latin America and the Caribbean (IFC classification),1
5006,CME,Middle East and North Africa (IFC classification),1
5007,CSA,South Asia (IFC classification),1
5008,CSS,Caribbean small states,1
5009,EAP,East Asia & Pacific (developing only),1
5010,EAS,East Asia & Pacific (all income levels),1
5011,ECA,Europe & Central Asia (developing only),1
5012,ECS,Europe & Central Asia (all income levels),1
5013,EMU,Euro area,1
5014,EUU,European Union,1
5015,FCS,Fragile and conflict affected situations,1
5016,HIC,High income,1
5017,HPC,Heavily indebted poor countries (HIPC),1
5018,INX,Not classified,1
5019,LAC,Latin America & Caribbean (developing only),1
5020,LCN,Latin America & Caribbean (all income levels),1
5021,LDC,Least developed countries: UN classification,1
5022,LIC,Low income,1
5023,LMC,Lower middle income,1
5024,LMY,Low & middle income,1
5025,MEA,Middle East & North Africa (all income levels),1
5026,MIC,Middle income,1
5027,MNA,Middle East & North Africa (developing only),1
5028,NAC,North America,1
5029,NOC,High income: nonOECD,1
5030,OEC,High income: OECD,1
5031,OED,OECD members,1
