UCINumeric,SourceCountryCode,SourceNumericCode,SourceLongName,Source,Deprecated
2,,1220,US,CNTS,0
2,USA,2,United States of America,COW,0
2,,,United States,fh,0
2,USA,,United States,ISO,0
2,,181,United Sta,Norris,0
2,USA,2,United States,Polity,0
2,USA,,United States of America,WDI,0
20,,180,CANADA,CNTS,0
20,CAN,20,Canada,COW,0
20,,,Canada,fh,0
20,,1065,Canada,IAU,0
20,CAN,,Canada,ISO,0
20,,31,Canada,Norris,0
20,CAN,20,Canada,Polity,0
20,CAN,,Canada,WDI,0
31,,69,BAHAMAS,CNTS,0
31,BHM,31,Bahamas,COW,0
31,,,Bahamas,fh,0
31,BHS,,Bahamas,ISO,0
31,,12,Bahamas,Norris,0
31,BHS,,Commonwealth of The Bahamas,WDI,0
40,,280,CUBA,CNTS,0
40,CUB,40,Cuba,COW,0
40,,,Cuba,fh,0
40,,1068,Cuba,IAU,0
40,CUB,,Cuba,ISO,0
40,,44,Cuba,Norris,0
40,CUB,40,Cuba,Polity,0
40,CUB,,Republic of Cuba,WDI,0
41,,490,HAITI,CNTS,0
41,HAI,41,Haiti,COW,0
41,,,Haiti,fh,0
41,,1076,Haiti,IAU,0
41,HTI,,Haiti,ISO,0
41,,72,Haiti,Norris,0
41,HAI,41,Haiti,Polity,0
41,HTI,,Republic of Haiti,WDI,0
42,,330,DOMIN REP,CNTS,0
42,DOM,42,Dominican Republic,COW,0
42,,,Dominican Republic,fh,0
42,,1982,Dominican Republic,IAU,0
42,DOM,,Dominican Republic,ISO,0
42,,50,Dominican,Norris,0
42,DOM,42,Dominican Rep,Polity,0
42,DOM,,Dominican Republic,WDI,0
51,,590,JAMAICA,CNTS,0
51,JAM,51,Jamaica,COW,0
51,,,Jamaica,fh,0
51,,1078,Jamaica,IAU,0
51,JAM,,Jamaica,ISO,0
51,,83,Jamaica,Norris,0
51,JAM,51,Jamaica,Polity,0
51,JAM,,Jamaica,WDI,0
52,,1150,TRINIDAD,CNTS,0
52,TRI,52,Trinidad and Tobago,COW,0
52,,,Trinidad & Tobago,fh,0
52,,1090,Trinidad and Tobago,IAU,0
52,TTO,,Trinidad and Tobago,ISO,0
52,,172,Trinidad,Norris,0
52,TRI,52,Trinidad,Polity,0
52,TTO,,Republic of Trinidad and Tobago,WDI,0
53,,70,BARBADOS,CNTS,0
53,BAR,53,Barbados,COW,0
53,,,Barbados,fh,0
53,BRB,,Barbados,ISO,0
53,,15,Barbados,Norris,0
53,BRB,,Barbados,WDI,0
54,,327,DOMINICA,CNTS,0
54,DMA,54,Dominica,COW,0
54,,,Dominica,fh,0
54,DMA,,Dominica,ISO,0
54,,49,Dominica,Norris,0
54,DMA,,Commonwealth of Dominica,WDI,0
55,,455,GRENADA,CNTS,0
55,GRN,55,Grenada,COW,0
55,,,Grenada,fh,0
55,GRD,,Grenada,ISO,0
55,,67,Grenada,Norris,0
55,GRD,,Grenada,WDI,0
56,,981,SAINT LUCIA,CNTS,0
56,SLU,56,St. Lucia,COW,0
56,,,Saint Lucia,fh,0
56,LCA,,Saint Lucia,ISO,0
56,,143,St. Lucia,Norris,0
56,LCA,,St. Lucia,WDI,0
57,,1065,ST VINCENT,CNTS,0
57,SVG,57,St. Vincent and the Grenadines,COW,0
57,,,Saint Vincent & Grenadines,fh,0
57,VCT,,Saint Vincent and the Grenadines,ISO,0
57,,159,St. Vincen,Norris,0
57,VCT,,St. Vincent and the Grenadines,WDI,0
58,,37,ANTIGUA,CNTS,0
58,AAB,58,Antigua & Barbuda,COW,0
58,,,Antigua & Barbuda,fh,0
58,ATG,,Antigua and Barbuda,ISO,0
58,,6,Antigua &,Norris,0
58,ATG,,Antigua and Barbuda,WDI,0
60,,1063,ST KITT/NEV,CNTS,0
60,SKN,60,St. Kitts and Nevis,COW,0
60,,,Saint Kitts and Nevis,fh,0
60,KNA,,Saint Kitts and Nevis,ISO,0
60,,158,St. Kitts,Norris,0
60,KNA,,St. Kitts and Nevis,WDI,0
70,,810,MEXICO,CNTS,0
70,MEX,70,Mexico,COW,0
70,,,Mexico,fh,0
70,,1080,Mexico,IAU,0
70,MEX,,Mexico,ISO,0
70,,112,Mexico,Norris,0
70,MEX,70,Mexico,Polity,0
70,MEX,,United Mexican States,WDI,0
80,,90,BELIZE,CNTS,0
80,BLZ,80,Belize,COW,0
80,,,Belize,fh,0
80,BLZ,,Belize,ISO,0
80,,18,Belize,Norris,0
80,BLZ,,Belize,WDI,0
89,UPC,89,United Province CA,Polity,0
90,,460,GUATEMALA,CNTS,0
90,GUA,90,Guatemala,COW,0
90,,,Guatemala,fh,0
90,,1075,Guatemala,IAU,0
90,GTM,,Guatemala,ISO,0
90,,68,Guatemala,Norris,0
90,GUA,90,Guatemala,Polity,0
90,GTM,,Republic of Guatemala,WDI,0
91,,500,HONDURAS,CNTS,0
91,HON,91,Honduras,COW,0
91,,,Honduras,fh,0
91,,1077,Honduras,IAU,0
91,HND,,Honduras,ISO,0
91,,73,Honduras,Norris,0
91,HON,91,Honduras,Polity,0
91,HND,,Republic of Honduras,WDI,0
92,,350,EL SALVADOR,CNTS,0
92,SAL,92,El Salvador,COW,0
92,,,El Salvador,fh,0
92,,1071,El Salvador,IAU,0
92,SLV,,El Salvador,ISO,0
92,,53,El Salvado,Norris,0
92,SAL,92,El Salvador,Polity,0
92,SLV,,Republic of El Salvador,WDI,0
93,,870,NICARAGUA,CNTS,0
93,NIC,93,Nicaragua,COW,0
93,,,Nicaragua,fh,0
93,,1083,Nicaragua,IAU,0
93,NIC,,Nicaragua,ISO,0
93,,125,Nicaragua,Norris,0
93,NIC,93,Nicaragua,Polity,0
93,NIC,,Republic of Nicaragua,WDI,0
94,,270,COSTA RICA,CNTS,0
94,COS,94,Costa Rica,COW,0
94,,,Costa Rica,fh,0
94,,1067,Costa Rica,IAU,0
94,CRI,,Costa Rica,ISO,0
94,,41,Costa Rica,Norris,0
94,COS,94,Costa Rica,Polity,0
94,CRI,,Republic of Costa Rica,WDI,0
95,,910,PANAMA,CNTS,0
95,PAN,95,Panama,COW,0
95,,,Panama,fh,0
95,,1084,Panama,IAU,0
95,PAN,,Panama,ISO,0
95,,132,Panama,Norris,0
95,PAN,95,Panama,Polity,0
95,PAN,,Republic of Panama,WDI,0
100,,240,COLOMBIA,CNTS,0
100,COL,100,Colombia,COW,0
100,,,Colombia,fh,0
100,,1098,Colombia,IAU,0
100,COL,,Colombia,ISO,0
100,,37,Colombia,Norris,0
100,COL,100,Colombia,Polity,0
100,COL,,Republic of Colombia,WDI,0
101,,1250,VENEZUELA,CNTS,0
101,VEN,101,Venezuela,COW,0
101,,,Venezuela,fh,0
101,,1107,Venezuela,IAU,0
101,VEN,,"Venezuela, Bolivarian Republic of",ISO,0
101,,185,Venezuela,Norris,0
101,VEN,101,Venezuela,Polity,0
101,VEN,,Rep?_blica Bolivariana de Venezuela,WDI,0
105,,105,BOPHUTSWANA,CNTS,0
110,,480,GUYANA,CNTS,0
110,GUY,110,Guyana,COW,0
110,,,Guyana,fh,0
110,,1102,Guyana,IAU,0
110,GUY,,Guyana,ISO,0
110,,71,Guyana,Norris,0
110,GUY,110,Guyana,Polity,0
110,GUY,,Co-operative Republic of Guyana,WDI,0
115,,1075,SURINAME,CNTS,0
115,SUR,115,Suriname,COW,0
115,,,Suriname,fh,0
115,,1105,Suriname,IAU,0
115,SUR,,Suriname,ISO,0
115,,161,Suriname,Norris,0
115,SUR,115,Suriname,Polity,0
115,SUR,,Republic of Suriname,WDI,0
130,,340,ECUADOR,CNTS,0
130,ECU,130,Ecuador,COW,0
130,,,Ecuador,fh,0
130,,1099,Ecuador,IAU,0
130,ECU,,Ecuador,ISO,0
130,,51,Ecuador,Norris,0
130,ECU,130,Ecuador,Polity,0
130,ECU,,Republic of Ecuador,WDI,0
135,,930,PERU,CNTS,0
135,PER,135,Peru,COW,0
135,,,Peru,fh,0
135,,1104,Peru,IAU,0
135,PER,,Peru,ISO,0
135,,135,Peru,Norris,0
135,PER,135,Peru,Polity,0
135,PER,,Republic of Peru,WDI,0
140,,120,BRAZIL,CNTS,0
140,BRA,140,Brazil,COW,0
140,,,Brazil,fh,0
140,,1096,Brazil,IAU,0
140,BRA,,Brazil,ISO,0
140,,24,Brazil,Norris,0
140,BRA,140,Brazil,Polity,0
140,BRA,,Federative Republic of Brazil,WDI,0
145,,100,BOLIVIA,CNTS,0
145,BOL,145,Bolivia,COW,0
145,,,Bolivia,fh,0
145,,1095,Bolivia,IAU,0
145,BOL,,"Bolivia, Plurinational State of",ISO,0
145,,21,Bolivia,Norris,0
145,BOL,145,Bolivia,Polity,0
145,BOL,,Plurinational State of Bolivia,WDI,0
150,,920,PARAGUAY,CNTS,0
150,PAR,150,Paraguay,COW,0
150,,,Paraguay,fh,0
150,,1103,Paraguay,IAU,0
150,PRY,,Paraguay,ISO,0
150,,134,Paraguay,Norris,0
150,PAR,150,Paraguay,Polity,0
150,PRY,,Republic of Paraguay,WDI,0
155,,220,CHILE,CNTS,0
155,CHL,155,Chile,COW,0
155,,,Chile,fh,0
155,,1097,Chile,IAU,0
155,CHL,,Chile,ISO,0
155,,35,Chile,Norris,0
155,CHL,155,Chile,Polity,0
155,CHL,,Republic of Chile,WDI,0
160,,40,ARGENTINA,CNTS,0
160,ARG,160,Argentina,COW,0
160,,,Argentina,fh,0
160,,1094,Argentina,IAU,0
160,ARG,,Argentina,ISO,0
160,,7,Argentina,Norris,0
160,ARG,160,Argentina,Polity,0
160,ARG,,Argentine Republic,WDI,0
165,,1240,URUGUAY,CNTS,0
165,URU,165,Uruguay,COW,0
165,,,Uruguay,fh,0
165,,1106,Uruguay,IAU,0
165,URY,,Uruguay,ISO,0
165,,182,Uruguay,Norris,0
165,URU,165,Uruguay,Polity,0
165,URY,,Oriental Republic of Uruguay,WDI,0
190,,190,CEN AFR EMP,CNTS,0
200,,1210,UK,CNTS,0
200,UKG,200,United Kingdom,COW,0
200,,,United Kingdom,fh,0
200,,1184,United Kingdom,IAU,0
200,GBR,,United Kingdom,ISO,0
200,,180,United Kin,Norris,0
200,UKG,200,United Kingdom,Polity,0
200,GBR,,United Kingdom of Great Britain and Northern Ireland,WDI,0
205,,1212,IRELAND,CNTS,0
205,IRE,205,Ireland,COW,0
205,,,Ireland,fh,0
205,,1168,Ireland,IAU,0
205,IRL,,Ireland,ISO,0
205,,80,Ireland,Norris,0
205,IRE,205,Ireland,Polity,0
205,IRL,,Ireland,WDI,0
210,,850,NETHERLANDS,CNTS,0
210,NTH,210,Netherlands,COW,0
210,,,Netherlands,fh,0
210,,1174,Netherlands,IAU,0
210,NLD,,Netherlands,ISO,0
210,,123,Netherland,Norris,0
210,NTH,210,Netherlands,Polity,0
210,NLD,,Kingdom of the Netherlands,WDI,0
211,,80,BELGIUM,CNTS,0
211,BEL,211,Belgium,COW,0
211,,,Belgium,fh,0
211,,1154,Belgium,IAU,0
211,BEL,,Belgium,ISO,0
211,,17,Belgium,Norris,0
211,BEL,211,Belgium,Polity,0
211,BEL,,Kingdom of Belgium,WDI,0
212,,720,LUXEMBOURG,CNTS,0
212,LUX,212,Luxembourg,COW,0
212,,,Luxembourg,fh,0
212,,1171,Luxembourg,IAU,0
212,LUX,,Luxembourg,ISO,0
212,,101,Luxembourg,Norris,0
212,LUX,212,Luxembourg,Polity,0
212,LUX,,Grand Duchy of Luxembourg,WDI,0
220,,390,FRANCE,CNTS,0
220,FRN,220,France,COW,0
220,,,France,fh,0
220,,1160,France,IAU,0
220,FRA,,France,ISO,0
220,,60,France,Norris,0
220,FRN,220,France,Polity,0
221,,815,MONACO,CNTS,0
221,MNC,221,Monaco,COW,0
221,,,Monaco,fh,0
221,MCO,,Monaco,ISO,0
221,,115,Monaco,Norris,0
221,MCO,,Principality of Monaco,WDI,0
223,,705,LIECHTSTEIN,CNTS,0
223,LIE,223,Liechtenstein,COW,0
223,,,Liechtenstein,fh,0
223,LIE,,Liechtenstein,ISO,0
223,,99,Liechtenst,Norris,0
223,LIE,,Principality of Liechtenstein,WDI,0
225,,1100,SWITZERLAND,CNTS,0
225,SWZ,225,Switzerland,COW,0
225,,,Switzerland,fh,0
225,,1182,Switzerland,IAU,0
225,CHE,,Switzerland,ISO,0
225,,164,Switzerlan,Norris,0
225,SWZ,225,Switzerland,Polity,0
225,CHE,,Switzerland,WDI,0
230,,1060,SPAIN,CNTS,0
230,SPN,230,Spain,COW,0
230,,,Spain,fh,0
230,,1180,Spain,IAU,0
230,ESP,,Spain,ISO,0
230,,156,Spain,Norris,0
230,SPN,230,Spain,Polity,0
230,ESP,,Kingdom of Spain,WDI,0
232,,32,ANDORRA,CNTS,0
232,AND,232,Andorra,COW,0
232,,,Andorra,fh,0
232,AND,,Andorra,ISO,0
232,,4,Andorra,Norris,0
232,AND,,Principality of Andorra,WDI,0
235,,960,PORTUGAL,CNTS,0
235,POR,235,Portugal,COW,0
235,,,Portugal,fh,0
235,,1177,Portugal,IAU,0
235,PRT,,Portugal,ISO,0
235,,138,Portugal,Norris,0
235,POR,235,Portugal,Polity,0
235,PRT,,Portuguese Republic,WDI,0
240,,423,HANOVER,CNTS,0
240,HAN,240,Hanover,COW,0
245,,422,BAVARIA,CNTS,0
245,BAV,245,Bavaria,COW,0
245,BAV,245,Bavaria,Polity,0
246,,246,ANJOUAN,CNTS,0
255,,420,GERMANY,CNTS,0
255,GMY,255,Germany,COW,0
255,,,Germany,fh,0
255,DEU,,Germany,ISO,0
255,,64,Germany,Norris,0
255,GMY,255,Germany,Polity,0
255,DEU,,Federal Republic of Germany,WDI,0
260,,431,GERMAN FR,CNTS,0
260,GFR,260,German Federal Republic,COW,0
260,,,"Germany, W.",fh,0
260,,929,Germany (FR),IAU,0
260,GFR,260,Germany West,Polity,0
265,,430,GERMAN DR,CNTS,0
265,GDR,265,German Democratic Republic,COW,0
265,,,"Germany, E.",fh,0
265,DDR,,German Democratic Republic,ISO,0
265,GDR,265,Germany East,Polity,0
267,,421,BADEN,CNTS,0
267,BAD,267,Baden,COW,0
267,BAD,267,Baden,Polity,0
269,,428,SAXONY,CNTS,0
269,SAX,269,Saxony,COW,0
269,SAX,269,Saxony,Polity,0
271,,429,WURTTEMBERG,CNTS,0
271,WRT,271,Wuerttemburg,COW,0
271,WRT,271,Wuerttemburg,Polity,0
273,,424,"HESSE, EL",CNTS,0
273,HSE,273,Hesse Electoral,COW,0
275,,425,"HESSE, GD",CNTS,0
275,HSG,275,Hesse Grand Ducal,COW,0
280,,426,MECKLENBURG,CNTS,0
280,MEC,280,Mecklenburg Schwerin,COW,0
290,,950,POLAND,CNTS,0
290,POL,290,Poland,COW,0
290,,,Poland,fh,0
